"id";"SIRET";"secteur";"public";"public_employer_type";"Rue";"Ville";"Code postal";"Filière"
38593;;"Fonction publique";FAUX;;"70 RUE DU NEUFBOURG";"Saint-Lô";"50000";"seconde_troisieme_or_quatrieme"
38613;;"Artisanat d'art";FAUX;;"11 PL DE LA MAIRIE";"Cerisy-la-Salle";"50210";"seconde_troisieme_or_quatrieme"
38614;;"Artisanat d'art";FAUX;;"8 QUAI ROBERT LEBLANC";"Pont-Audemer";"27500";"seconde_troisieme_or_quatrieme"
38615;;"Fonction publique";FAUX;;"12 RUE ROBERT FOSSORIER";"Deauville";"14800";"seconde_troisieme_or_quatrieme"
38620;"21830034100037";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Chemin du Hameau";"Carqueiranne";"83320";"seconde_only"
38625;"21830098600039";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Rue Pierre de Coubertin";"Le Pradet";"83220";"seconde_only"
38632;;"Artisanat d'art";FAUX;;"  LE HALBOUDET";"L'Aigle";"61300";"seconde_troisieme_or_quatrieme"
38633;;"Agriculture";FAUX;;"  FONTENAI SUR ORNE";"Écouché-les-Vallées";"61150";"seconde_troisieme_or_quatrieme"
38636;;"Agriculture";FAUX;;"261 RTE SAINT MARTIN";"Foucart";"76640";"seconde_troisieme_or_quatrieme"
38651;;"Hôtellerie, restauration";FAUX;;"122 GRANDE RUE";"Eyne";"66800";"seconde_troisieme_or_quatrieme"
38657;;"Artisanat d'art";FAUX;;"204 RUE DE LA ROUGEMARE";"Évreux";"27000";"seconde_troisieme_or_quatrieme"
38658;;"Artisanat d'art";FAUX;;"  LE BUISSON";"Saint-Aubin-sur-Gaillon";"27600";"seconde_troisieme_or_quatrieme"
38666;;"Artisanat d'art";FAUX;;"42 RUE DE PARIS";"Gisors";"27140";"seconde_troisieme_or_quatrieme"
38696;;"Artisanat d'art";FAUX;;"23  LIEU-DIT LA CAMPAGNE";"Domjean";"50420";"seconde_troisieme_or_quatrieme"
38699;;"Maintenance";FAUX;;"124 RUE GUSTAVE EIFFEL";"Flers";"61100";"seconde_troisieme_or_quatrieme"
38704;;"Artisanat d'art";FAUX;;"39 RUE OLLIFFE";"Deauville";"14800";"seconde_troisieme_or_quatrieme"
38712;;"Artisanat d'art";FAUX;;" CHE LIEU DIT TOINIERE";"Ceton";"61260";"seconde_troisieme_or_quatrieme"
38719;;"Fonction publique";FAUX;;"4 RUE COLONEL ARNAUD BELTRAME";"Évrecy";"14210";"seconde_troisieme_or_quatrieme"
38720;"21830098600039";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Rue Adrien Pellegrin";"Le Pradet";"83220";"seconde_only"
