ACADEMIE;CODE_RNE (UAI);ID_ETAB_SCONET (ETAB_UAJ_Id);DIVISION (CLASSE);EFFECTIF DECLARE;MINISTERE
Aix-Marseille;0133244F;490;2GT06;36
Aix-Marseille;0133244F;490;2GT07;35
Aix-Marseille;0133244F;490;2GT08;36
Aix-Marseille;0133244F;490;2GT09;36
Aix-Marseille;0133244F;490;2GT10;36
Aix-Marseille;0133244F;490;2GT11;35
Aix-Marseille;0133244F;490;2GT12;35
Aix-Marseille;0133244F;490;2GT13;36
Aix-Marseille;0133244F;490;2GT14;37
Aix-Marseille;0133244F;490;2GT15;37
Aix-Marseille;0133244F;490;2GT16;36
Aix-Marseille;0133244F;490;2MTNE1;16
Aix-Marseille;0133244F;490;2MTNE2;16
Aix-Marseille;0840042P;399;2 MTNE A;24
Aix-Marseille;0840042P;399;2 MTNE B;24
Aix-Marseille;0840042P;399;2 MTNE C;24
Aix-Marseille;0840042P;399;2MMMV;20
Aix-Marseille;0840042P;399;2MP3D;12
Aix-Marseille;0840042P;399;2MPMI;24
Aix-Marseille;0840042P;399;2MTNE;72
Aix-Marseille;0130146N;5;2CDB;12
Aix-Marseille;0130146N;5;2CTRM;24
Aix-Marseille;0130146N;5;2MRC;24
Aix-Marseille;0130146N;5;2MV1MV2;20
Aix-Marseille;0130146N;5;2MV3;10
Aix-Marseille;0130146N;5;2TNE;12
Aix-Marseille;0840113S;240;2CTRM;12
Aix-Marseille;0840113S;240;2GALT1;23
Aix-Marseille;0840113S;240;2GALT2;24
Aix-Marseille;0840113S;240;2MHR;24
Aix-Marseille;0840113S;240;2MRC1;24
Aix-Marseille;0840113S;240;2MRC2;23
Aix-Marseille;0840113S;240;2MV;20
Aix-Marseille;0840041N;335;2AGORA;24
Aix-Marseille;0840041N;335;2BBE1;12
Aix-Marseille;0840041N;335;2BBE2;24
Aix-Marseille;0840041N;335;2MRC1;24
Aix-Marseille;0840041N;335;2MRC2;24
Aix-Marseille;0840041N;335;2MRC3;24
Aix-Marseille;0840041N;335;2MRC4;24
Aix-Marseille;0132733A;289;201;25
Aix-Marseille;0132733A;289;202;25
Aix-Marseille;0132733A;289;203;25
Aix-Marseille;0132733A;289;204;25
Aix-Marseille;0132733A;289;205;25
Aix-Marseille;0132733A;289;206;24
Aix-Marseille;0132733A;289;207;24
Aix-Marseille;0132733A;289;208;24
Aix-Marseille;0132733A;289;209;24
Aix-Marseille;0132733A;289;210;24
Aix-Marseille;0132733A;289;211;24
Aix-Marseille;0132733A;289;212;24
Aix-Marseille;0132733A;289;213;24
Aix-Marseille;0132733A;289;2PROMTNE;15
Aix-Marseille;0130042A;457;201;32
Aix-Marseille;0130042A;457;202;32
Aix-Marseille;0130042A;457;203;32
Aix-Marseille;0130042A;457;204;32
Aix-Marseille;0130042A;457;205;32
Aix-Marseille;0130042A;457;206;32
Aix-Marseille;0130042A;457;207;32
Aix-Marseille;0130042A;457;208;32
Aix-Marseille;0130042A;457;209;32
Aix-Marseille;0130042A;457;210;24
Aix-Marseille;0130058T;534;2MN;20
