id;secteur;public;public_employer_type
65323;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65324;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65325;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65326;Fonction publique;FAUX;
65327;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65328;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65329;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65330;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65331;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65332;Enseignement;FAUX;
65333;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65334;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65335;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65336;Recherche;FAUX;
65337;Social;FAUX;
65338;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65339;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65340;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65341;Fonction publique;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles
65342;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65343;Fonction publique;VRAI;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique
65344;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65345;Bâtiment et travaux publics (BTP);FAUX;
65347;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65348;Enseignement;FAUX;
65349;Énergie;FAUX;
65350;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65351;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
65352;Énergie;FAUX;
65353;Énergie;FAUX;
65354;Enseignement;VRAI;Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche
