name,city,department,zipcode,code_uai,coordinates,street,created_at,updated_at,city_tsv,kind,visible,internship_agreement_online,fetched_school_phone
Chemin Morin,Saint-André,La Réunion,97440,9741386N,POINT (55.6466 -20.9693),300 Chemin Morin,2019-08-07 10:51:45 +0200,2020-01-31 14:49:17 +0100,'andre':3 'chemin':4 'morin':5 'saint':2 'saint-andr':1,rep,true,false,
Pierre Joannon,St-Chamond,Loire,42400,0421486M,POINT (4.5119121 45.4593113),,2019-08-07 10:51:43 +0200,2024-01-04 14:51:18 +0100,'chamond':3 'joannon':5 'pierr':4 'st':2 'st-chamond':1,rep,true,false,
Jean Dasté,Saint-Étienne,Loire,42100,0421686E,POINT (4.4215263 45.4278349),,2019-08-07 10:51:43 +0200,2024-01-04 14:51:18 +0100,'dast':5 'etien':3 'jean':4 'saint':2 'saint-etien':1,rep,true,false,
Gambetta,Saint-Étienne,Loire,42000,0421452A,POINT (4.389708 45.4341085),,2019-08-07 10:51:43 +0200,2024-01-04 14:51:18 +0100,'etien':3 'gambet':4 'saint':2 'saint-etien':1,rep,true,false,
Paul Éluard,Montereau,Seine-et-Marne,77130,0771567K,POINT (2.9689324 48.4002414),,2019-08-07 10:51:43 +0200,2024-01-04 14:51:18 +0100,'eluard':3 'montereau':1 'paul':2,rep,true,false,
Claude Fauriel,Saint-Étienne,Loire,42000,0421677V,POINT (4.387656499999999 45.4429143),,2019-08-07 10:51:43 +0200,2024-01-04 14:51:18 +0100,'claud':4 'etien':3 'fauriel':5 'saint':2 'saint-etien':1,rep,true,false,
Les Courlis,Nevers,Nièvre,58000,0580682B,POINT (3.18981 46.9809425),,2019-08-07 10:51:43 +0200,2020-01-31 14:49:17 +0100,'courl':3 'le':2 'never':1,rep,true,false,
du Vallon,Autun,Saône-et-Loire,71400,0711294W,POINT (4.3070679 46.9600592),,2019-08-07 10:51:43 +0200,2020-01-31 14:49:17 +0100,'autun':1 'du':2 'vallon':3,rep,true,false,
Pierre Mendès-France,La Châtaigneraie,Vendée,85120,0851163C,POINT (-0.7471325999999999 46.6523016),,2019-08-07 10:51:44 +0200,2020-01-31 14:49:17 +0100,'chataignerai':2 'franc':6 'la':1 'mend':5 'mendes-fr':4 'pierr':3,rep,true,false,
Noël Berrier,Corbigny,Nièvre,58800,0580012Y,POINT (3.6835152 47.2522964),,2019-08-07 10:51:43 +0200,2020-01-31 14:49:17 +0100,'berri':3 'corbigny':1 'noel':2,rep,true,false,
Pierre Bourdieu,Mourenx,Pyrénées-Atlantiques,64150,0641561Z,POINT (-0.6241129999999999 43.367947),,2019-08-07 10:51:44 +0200,2024-01-04 12:40:43 +0100,'bourdieu':3 'mourenx':1 'pierr':2,rep,true,false,
Le Luzard,Noisiel,Seine-et-Marne,77186,0771841H,POINT (2.6129571 48.8466705),,2019-08-07 10:51:43 +0200,2024-01-04 12:40:44 +0100,'le':2 'luzard':3 'noisiel':1,rep,true,false,
Georges Brassens,Décines-Charpieu,Rhône,69150,0692157V,POINT (4.9729028 45.768018),,2019-08-07 10:51:43 +0200,2024-01-04 14:51:18 +0100,'brassen':5 'charpieu':3 'decin':2 'decines-charpieu':1 'georg':4,rep,true,false,
Colette,Saint-Priest,Rhône,69800,0691497C,POINT (4.943303999999999 45.6901185),,2019-08-07 10:51:43 +0200,2024-01-04 14:51:18 +0100,'colet':4 'priest':3 'saint':2 'saint-priest':1,rep,true,false,
Faubert,Villefranche-sur-Saone,Rhône,69400,0691645N,POINT (4.7217879 45.99137),,2019-08-07 10:51:43 +0200,2024-01-04 14:51:19 +0100,'faubert':5 'saon':4 'sur':3 'villefranch':2 'villefranche-sur-saon':1,rep,true,false,
Jean Jaurès,Aire-sur-la-Lys,Pas-de-Calais,62120,0622094P,POINT (2.4023988 50.6359857),,2019-08-07 10:51:44 +0200,2024-01-04 14:51:19 +0100,'air':2 'aire-sur-la-ly':1 'jaur':7 'jean':6 'la':4 'ly':5 'sur':3,rep,true,false,
Le Coutaller,Lorient,Morbihan,56100,0560071Y,POINT (-3.3759574 47.7651661),,2019-08-07 10:51:44 +0200,2020-01-31 14:49:17 +0100,'coutall':3 'le':2 'lorient':1,rep,true,false,
Keranroux,Brest,Finistère,29200,0291089B,POINT (-4.54063 48.3833542),,2019-08-07 10:51:44 +0200,2020-01-31 14:49:17 +0100,'brest':1 'keranroux':2,rep,true,false,
Pen Ar C'hleuz,Brest,Finistère,29200,0290100B,POINT (-4.4822824 48.41703709999999),,2019-08-07 10:51:44 +0200,2020-01-31 14:49:17 +0100,'ar':3 'brest':1 'c':4 'hleuz':5 'pen':2,rep,true,false,
Max Jacob,Quimper,Finistère,29000,0291087Z,POINT (-4.130412499999999 47.98671849999999),,2019-08-07 10:51:44 +0200,2020-01-31 14:49:17 +0100,'jacob':3 'max':2 'quimp':1,rep,true,false,
Jean Monnet,Flers,Orne,61100,06100057F,POINT (-0.5700712 48.7402806),,2019-08-07 10:51:44 +0200,2020-01-31 14:49:17 +0100,'fler':1 'jean':2 'monnet':3,rep,true,false,
Roncherolles,Bolbec,Seine-Maritime,76210,0761701L,POINT (0.4864529999999999 49.5708095),,2019-08-07 10:51:44 +0200,2020-01-31 14:49:17 +0100,'bolbec':1 'roncheroll':2,rep,true,false,
Jules Ferry,Fécamp,Seine-Maritime,76400,0761704P,POINT (0.391809 49.7541212),,2019-08-07 10:51:44 +0200,2020-01-31 14:49:17 +0100,'fecamp':1 'ferry':3 'jul':2,rep,true,false,
