Identifiant_de_l_etablissement,Nom_etablissement,Type_etablissement,Statut_public_prive,Segpa,Lycee_Agricole,Lycee_militaire,code_nature,libelle_nature,Code_type_contrat_prive,etablissement_mere,type_rattachement_etablissement_mere,
0650885J,Lycée polyvalent privé Notre-Dame de Garaison,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0650084N,,
0810068J,Lycée général et technologique privé Amboise,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0811061N,,
9730328U,Lycée polyvalent Anne-Marie Javouhey,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,,,
0442071M,Lycée professionnel hôtelier privé - Daniel Brottier,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0441066V,,
0530815Y,LEGTAP Rochefeuille - Antenne d'Ernée,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0490881S,Collège Saint-Jean,Collège,Privé,0,0,0,0,,340,30,0490858S,
0596122J,École Jeannine Manuel - Lycée,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,,,
0593007Y,Lycée Ozanam,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0593828R,,
0610724F,Lycée professionnel Giel Don Bosco,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0610016L,,
0781856U,Lycée professionnel Saint-Érembert,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,,,
0781589D,Collège Saint-Érembert,Collège,Privé,0,0,0,,340,COLLEGE,,,
9840485E,Lycée Samuel Raapoto (pôle enseignement supérieur),Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,,9840394F,
0731272L,Collège privé Jeanne d'Arc,Collège,Privé,0,0,0,,340,COLLEGE,0731224J,,
0740116Z,Collège privé Saint-François,Collège,Privé,0,0,0,,340,COLLEGE,0741666J,,
0711439D,Lycée agricole privé Reine Antier de Saint-Martin,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0783350T,Lycée Saint-Jean et Hulst,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,,
0781597M,Collège Saint-Jean - Hulst,Collège,Privé,0,0,0,,340,COLLEGE,,,
0701001H,Lycée professionnel privé Saint-Pierre Fourier,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0700004Z,,
0754045P,Lycée privé polyvalent Catherine Labouré,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0755840R,,
0761356L,Lycée privé Providence Sainte-Thérèse,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0760172Z,,
0221999D,Collège Saint-Yves La Salle,Collège,Privé,0,0,0,,340,COLLEGE,0220185G,,
0530068L,Lycée polyvalent Haute Follis,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0530051T,,
0754042L,Lycée polyvalent privé Le Rebours,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0750246K,,
0320051G,Lycée général et technologique privé Oratoire Sainte-Marie,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0320650H,,
0850079Z,Lycée Notre-Dame de la Tourtelière,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0851160Z,,
0711755X,Lycée polyvalent privé du Sacré-Coeur,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0710061F,,
0890067P,Lycée polyvalent privé Saint-Étienne,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0890053Z,,
0440256P,Lycée polyvalent Saint-Pierre La Joliverie,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0440244B,,
0492420P,Lycée polyvalent Saint-Aubin La Salle,Lycée,Privé,1,1,0,0,,306,30,0492432C,
0020498F,Lycée professionnel Sainte-Sophie,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0020007X,,
0754666P,Lycée privé Passy Saint-Honoré,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0754666P,,
0350769W,Lycée polyvalent J-B Le Taillandier - site Notre-Dame des Marais,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0350039C,,
0133396W,Lycée polyvalent Don Bosco,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0133396W,,
0132280H,Lycée polyvalent Henri Leroy,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0132280H,,
0932653D,Lycée général privé Saint-Joseph La Salle,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,,,
0671636P,Lycée privé ORT,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0671607H,,
0880120C,Lycée professionnel Notre-Dame de la Providence,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0880100F,,
0573172N,Lycée Sainte-Chrétienne La Salle,Lycée,Privé,0,0,0,,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,0570087K,,
0541986R,Lycée La Malgrange,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0542448T,,
0541370W,Lycée professionnel Claude Daunot,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0541340N,,
0541357G,Lycée professionnel Notre-Dame,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0541288G,,
0541313J,Lycée Saint-Léon IX,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0542448T,,
0550049E,Lycée Sainte-Anne La Salle,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0550024C,,
0570279U,Annexe du lycée professionnel La Providence de Dieuze,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0572814Z,,
