uai;type_etab;nom_etablissement;adresse;code_postal;commune;voie_generale;voie_techno;nbeleves;zone_ep
0301778V;Lycée;Lycée polyvalent Jacques Prévert;1 place Lucie Aubrac;30380;Saint-Christol-lès-Alès;1.0;1.0;;
0310024H;Lycée;Lycée polyvalent Pierre d'Aragon;14 avenue Henri Peyrusse;31605;Muret;1.0;1.0;;
0550025D;Lycée;Lycée des métiers de la productique, des automatismes et des énergies renouvelables Jean-Auguste Margueritte;13 place du Commandant Galland;55100;Verdun;1.0;1.0;;
0680001G;Lycée;Lycée polyvalent Jean Jacques Henner;20 rue de Hirtzbach;68130;Altkirch;1.0;1.0;;
0590064Z;Lycée;Lycée Jean-Baptiste Corot;133 rue Saint Vaast;59508;Douai;1.0;1.0;;
0952196W;Lycée;Lycée polyvalent Gustave Monod, Lycée des métiers de l'ingénierie industrielle;71 avenue de Ceinture;95880;Enghien-les-Bains;1.0;1.0;;
0670078W;Lycée;Lycée Jean Monnet;2 place Albert Schweitzer;67028;Strasbourg;1.0;1.0;;
9740002J;Lycée;Lycée polyvalent Roland Garros;Rue Roland Garros;97831;Le Tampon;1.0;1.0;;
0240024W;Lycée;Lycée Bertran de Born;1 rue Charles Mangold;24001;Périgueux;1.0;1.0;;
0670071N;Lycée;Lycée Docteur Koeberlé;8 boulevard Charlemagne;67604;Sélestat;1.0;1.0;;
0130039X;Lycée;Lycée Saint-Charles;5 rue Guy Fabre;13232;Marseille;1.0;1.0;;
0360008N;Lycée;Lycée Jean Giraudoux;31 avenue Marcel Lemoine;36000;Châteauroux;1.0;0.0;;
0670079X;Lycée;Lycée Fustel de Coulanges;1 place du Château;67061;Strasbourg;1.0;1.0;;
0670020H;Lycée;Lycée Robert Schuman;2 quai des pêcheurs;67504;Haguenau;1.0;1.0;;
0460028F;Lycée;Lycée polyvalent Louis Vicat;2 place Marsalès;46200;Souillac;1.0;1.0;;
0912364A;Lycée;Lycée Nikola Tesla;15-21 chemin du Champ de Courses;91410;Dourdan;1.0;1.0;;
0831563Y;Lycée;Lycée Costebelle;150 boulevard Félix Descroix;83408;Hyères;1.0;1.0;;
0801888T;Lycée;Lycée Saint-Martin;68 rue Delpech;80043;Amiens;0.0;1.0;;
0950650R;Lycée;Lycée Jean-Jacques Rousseau;2 rue Jean-Jacques Rousseau;95200;Sarcelles;1.0;1.0;;
